"country","gdp_imf","population","hdi","gdp_per_capita","log_gdp","log_population","log_gdp_per_capita","hdi_category"
"United States",30615743,340110988,0.938,90016.9182419946,17.2370249117488,19.6447825576002,11.4077529121129,"High"
"China",19398577,1408280000,0.797,13774.65915869,16.7807102708278,21.0656349385479,9.53058589024421,"High"
"Germany",5013574,83497147,0.959,60044.8539876458,15.4276595919848,18.2403230215727,11.0028471283764,"High"
"Japan",4279828,123160000,0.925,34750.1461513478,15.2694233798346,18.6289948810206,10.4559390567783,"High"
"India",4125213,1417492000,0.685,2910.21959912296,15.2326282127814,21.0721549498113,7.97598382093444,"Medium"
"United Kingdom",3958780,69487000,0.946,56971.5198526343,15.1914464549559,18.0566502426792,10.950306770241,"High"
"France",3361557,68736000,0.92,48905.3334497207,15.0279148174632,18.0457836374106,10.7976417380169,"High"
"Italy",2543677,58947569,0.915,43151.5165621164,14.7491212299726,17.8921589457598,10.6724728421771,"High"
"Russia",2540656,146028325,0.832,17398.3780201547,14.7479328733659,18.799311167705,9.76413226362513,"High"
"Canada",2283599,41575585,0.939,54926.4430073564,14.6412632651671,17.5430236539004,10.913750169231,"High"
"Brazil",2256910,213421037,0.786,10574.9181604811,14.6295071790631,19.1787774721044,9.26624026492293,"High"
"Spain",1891371,49442844,0.918,38253.6854069317,14.4528125208881,17.7163278937311,10.5519951851213,"High"
"Mexico",1862740,130760049,0.789,14245.4825785512,14.4375590799946,18.6888745145525,9.56419512340637,"High"
"South Korea",1858572,51143421,0.937,36340.3926381851,14.4353190088891,17.7501444203886,10.5006851464649,"High"
"Australia",1829508,27614400,0.958,66251.9555014775,14.4195576362113,17.1338479337593,11.1012202604163,"High"
"Turkey",1565471,85664944,0.853,18274.3480226871,14.2636972951439,18.2659542450398,9.81325360806842,"High"
"Indonesia",1443256,284438782,0.728,5074.0478842298,14.1824122301984,19.4660286108723,8.53189417729046,"High"
"Netherlands",1320635,18134031,0.955,72826.3340897564,14.0936232394961,16.7133008966827,11.1958329007777,"High"
"Saudi Arabia",1268535,35300280,0.9,35935.550652856,14.0533732492845,17.3794014538834,10.4894823533654,"High"
"Poland",1039619,37363000,0.906,27824.8267002114,13.8543648578426,17.4361914678869,10.2336839479199,"High"
"Switzerland",1002666,9104063,0.97,110133.903950357,13.8181730104899,16.0242313553595,11.6094522130947,"High"
"Belgium",716980,11924322,0.951,60127.5275860548,13.4828032251899,16.2940907377764,11.0042230453778,"High"
"Ireland",708771,5458600,0.949,129844.832008207,13.4712877632148,15.5127029045859,11.7740954165931,"High"
"Argentina",683371,46387098,0.865,14731.9196385167,13.4347931828785,17.6525319181857,9.5977718226571,"High"
"Sweden",662318,10610485,0.959,62421.0863122657,13.4035010821198,16.1773532211383,11.0416584189458,"High"
"Israel",610752,10178000,0.919,60007.0740813519,13.3224462637769,16.1357390861309,11.0022177356103,"High"
"Singapore",574185,6110200,0.946,93971.5557592223,13.2607069230259,15.6254700638363,11.4507474171539,"High"
"United Arab Emirates",569097,11294243,0.94,50388.2376180502,13.251806173096,16.2398036848326,10.8275130462277,"High"
"Austria",566456,9216459,0.93,61461.3486589589,13.2471546865308,16.0365014653651,11.02616377913,"High"
"Thailand",558573,65826149,0.798,8485.57918829491,13.2331405962015,18.0025277185684,9.04612343559738,"High"
"Norway",517102,5618354,0.97,92037.9883503247,13.1559954261007,15.5415492964091,11.4299566876558,"High"
"Philippines",494158,114123600,0.72,4330.02463995177,13.1106105830895,18.5527926295533,8.37332851150038,"High"
"Vietnam",484726,101343800,0.766,4782.98623102745,13.0913390618225,18.4340292548421,8.4728203649447,"High"
"Bangladesh",475011,169828911,0.685,2796.99726744406,13.0710932406434,18.9503020823657,7.9363017162419,"Medium"
"Malaysia",470572,34281100,0.819,13726.8640737899,13.0617042549928,17.3501047398605,9.52711007309656,"High"
"Denmark",459612,6024684,0.962,76288.1505486429,13.0381379342765,15.6113755878328,11.242272904408,"High"
"Colombia",438121,53057212,0.788,8257.52020290851,12.9902504069148,17.7868813610039,9.01887960387515,"High"
"Hong Kong",428233,7527500,0.955,56889.1398206576,12.9674227189594,15.834073539338,10.9488597375857,"High"
"South Africa",426383,63100945,0.741,6757.15712339966,12.9630932823711,17.9602463036275,8.81835753670784,"High"
"Romania",422508,19036031,0.845,22195.1729328451,12.9539636605113,16.7618441097152,10.0076301087604,"High"
"Pakistan",410495,241499431,0.544,1699.77626158465,12.9251190275325,19.3023776749465,7.43825191055028,"Low"
"Iran",356513,85961000,0.799,4147.38078896244,12.7841259838098,18.2694042629887,8.33023227878532,"High"
"Egypt",349264,107271260,0.754,3255.89538148429,12.7635833622141,18.490871324566,8.08822259561245,"High"
"Chile",347174,20206953,0.878,17180.9178751492,12.7575813741717,16.8215373110663,9.7515546210697,"High"
"Portugal",337936,10749635,0.89,31436.974371688,12.7306118074239,16.1903823584731,10.3557400069151,"High"
"Peru",318480,34350244,0.794,9271.54986147988,12.6713149576742,17.3521196799553,9.13470583568318,"High"
"Finland",314724,5656394,0.948,55640.3956301488,12.6594513432523,15.5482971446698,10.9266647565468,"High"
